,location
1084,"Auburn, WA"
1085,"Montcalm, WV"
1086,"Saratoga, CA"
1087,"Colton, CA"
1088,"Weeki Wachi, FL"
1089,"Big Bear, MO"
1090,"Winooski, VT"
1091,"Beaumont, CA"
1092,"Rutherfordton, NC"
1093,"St. Cloud, MN"
1094,"Spring, TX"
1095,"Logan Canyon, UT"
1096,"Wood County, TX"
1097,"Decatur County, TN"
1098,"Port St. Lucie, FL"
1099,"Mashantucket, CT"
1100,"Louisville, NE"
1101,"Fair Oaks, CA"
1102,"Pikesville, MD"
1103,"Claremont, NH"
1104,"Garden City, ID"
1105,"Little Rock, AR"
1106,"Groveton, TX"
1107,"Newark, NJ"
1108,"Campobello, SC"
1109,"Belleville, MI"
1110,"Hometown, WV"
1111,"Markham, IL"
1112,"Ventnor, NJ"
1113,"Springdale, AR"
1114,"Hessel, MI"
1115,"Moncks Corner, SC"
1116,"Macon, GA"
1117,"Killeen, AL"
1118,"Benton, AR"
1119,"Federal Way, WA"
1120,"Wetumka, OK"
1121,"Lumberton, NC"
1122,"Irvine, CA"
1123,"Westlake, OH"
1124,"Concord, CA"
1125,"Livingston Parish, LA"
1126,"Morehead, KY"
1127,"Grants Pass, OR"
1128,"Kent, WA"
1129,"Santa Cruz, CA"
1130,"Holiday, FL"
1131,"Benton Harbor, MI"
1132,"Paris, KY"
1133,"Willoughby, OH"
1134,"Muckleshoot Indian Reservation, WA"
1135,"Westover, AL"
1136,"Peterson, MN"
1137,"Edmonton, KY"
1138,"North St. Louis, MO"
1139,"Lincoln, CA"
1140,"Carrollton, TX"
1141,"Bartlesville, OK"
1142,"Elberton, GA"
1143,"Morris, MN"
1144,"North Royalton, OH"
1145,"Leedey, OK"
1146,"Torrance, CA"
1147,"Chatsworth, CA"
1148,"Brookville, OH"
1149,"Salisbury, NC"
1150,"Chambersburg, PA"
1151,"Loganville, GA"
1152,"Palm Springs, CA"
1153,"Lealman, FL"
1154,"Okemah, OK"
1155,"Clendenin, WV"
1156,"Beaver, WA"
1157,"Gladewater, TX"
1158,"Bowling Green, KY"
1159,"Maurice River, NJ"
1160,"Hensley, WV"
1161,"Ashtabula, OH"
1162,"Show Low, AZ"
1163,"San Angelo, TX"
1164,"Montrose County, CO"
1165,"Bloomsburg, PA"
1166,"York County, PA"
1167,"Webster, TX"
1168,"Ludowici, GA"
1169,"Casa Grande, AZ"
1170,"Watsonville, CA"
1171,"Brooklyn, NY"
1172,"Lompoc, CA"
1173,"La Mirada, CA"
1174,"Jackson, TN"
1175,"Hattiesburg, MS"
1176,"Surprise, AZ"
1177,"Olathe, KS"
1178,"Naples, ME"
1179,"Hickory, NC"
1180,"Friendswood, TX"
1181,"Avon, IN"
1182,"Iva, SC"
1183,"Dover, AR"
1184,"Simpsonsville, KY"
1185,"Tuscumbia, AL"
1186,"Hudson, OH"
1187,"Elkhart, IN"
1188,"Orange City, FL"
1189,"Fruitland Park, FL"
1190,"Fayetteville, NC"
1191,"Sioux City, IA"
1192,"Avella, PA"
1193,"Allen, TX"
1194,"Keaau, HI"
1195,"Leland, NC"
1196,"Forks Township, PA"
1197,"Sumter, SC"
1198,"Greenwood, IN"
1199,"York, NE"
1200,"Fairmont, WV"
1201,"Bullhead City, AZ"
1202,"Medicine Lodge, KS"
1203,"Fort Valley, GA"
1204,"Hampton, GA"
1205,"Hacienda Heights, CA"
1206,"Dallas, OR"
1207,"Arlington, TN"
1208,"Everett, WA"
1209,"Ridgefield, WA"
1210,"Granite Falls, NC"
1211,"Pharr, TX"
1212,"Brawley, CA"
1213,"Ponca City, OK"
1214,"Burns Flat, OK"
1215,"Knox, IN"
1216,"Saraland, AL"
1217,"Coalinga, CA"
1218,"Capitol Heights, MD"
1219,"Palm Harbor, FL"
1220,"Lake Wales, FL"
1221,"Gadsden, AL"
1222,"Pico Rivera, CA"
1223,"King City, OR"
1224,"Desha, AR"
1225,"Middleburg, FL"
1226,"Grass Valley, CA"
1227,"Pearland, TX"
1228,"North Riverside, IL"
1229,"Campbellton, TX"
1230,"Spring Hill, TN"
1231,"Chestertown, MD"
1232,"Pensacola, FL"
1233,"Mankato, MN"
1234,"Loxahatchee, FL"
1235,"Huntingdon County, PA"
1236,"Springfield, OH"
1237,"Villa Park, IL"
1238,"Woodstock, GA"
1239,"Gilmer, TX"
1240,"Pomona, CA"
1241,"Lancaster, KY"
1242,"English, IN"
1243,"Dinuba, CA"
1244,"Monteagle, TN"
1245,"Sharon, PA"
1246,"Deerfield, IL"
1247,"Princeton, WV"
1248,"Fairland, OK"
1249,"Elkridge, MD"
1250,"Independence, MO"
1251,"Cumming, GA"
1252,"Reagan, TN"
1253,"Austin, MN"
1254,"Vineland, MN"
1255,"Pearisburg, VA"
1256,"Kahuku, HI"
1257,"Tyrone, GA"
1258,"Fulton, KY"
1259,"Herndon, VA"
1260,"Soddy-Daisy, TN"
1261,"Twentynine Palms, CA"
1262,"Salinas, CA"
1263,"Watts, OK"
1264,"Gary, IN"
1265,"Grand Forks, ND"
1266,"Florissant, MO"
1267,"Woodford, VA"
1268,"Fritch, TX"
1269,"Greenville, MS"
1270,"Jean, NV"
1271,"Waldoboro, ME"
1272,"Carson, CA"
1273,"Brooklet, GA"
1274,"Springfield, IL"
1275,"Kenner, LA"
1276,"Atascadero, CA"
1277,"Algoma Township, MI"
1278,"Lancaster City, PA"
1279,"Kuna, ID"
1280,"Oxford, AL"
1281,"Southaven, MS"
1282,"Millston, WI"
1283,"Overlea, MD"
1284,"Madison Township, OH"
1285,"Alhambra, CA"
1286,"Fort Stockton, TX"
1287,"Des Moines, WA"
1288,"Oakdale, CT"
1289,"Kiowa, OK"
1290,"Lynnwood, WA"
1291,"Hollywood, CA"
1292,"Highland, CA"
1293,"Wichita Falls, TX"
1294,"Orange Park, FL"
1295,"Olympic Valley, CA"
1296,"Panhandle, TX"
1297,"Rowland, NC"
1298,"Grafton, WV"
1299,"Forest Park, IL"
1300,"Moultrie, GA"
1301,"DeLand, FL"
1302,"Englewood, OH"
1303,"Commerce City, CO"
1304,"Santa Monica, CA"
1305,"Jackson County, AL"
1306,"Mt. Pleasant, TN"
1307,"Howland Township, OH"
1308,"Richmond, KY"
1309,"Brookville, IN"
1310,"Anadarko, OK"
1311,"Geneva Township, OH"
1312,"Crownpoint, NM"
1313,"Vassalboro, ME"
1314,"Bethany, OK"
1315,"Bridgeton, NJ"
1316,"Aiea, HI"
1317,"Terrell, TX"
1318,"Santa Barbara, CA"
1319,"Golden Shores, AZ"
1320,"Vincennes, IN"
1321,"Cape Girardeau, MO"
1322,"Newman, CA"
1323,"Gardena, CA"
1324,"Douglas City, CA"
1325,"Grand Prarie, TX"
1326,"Big Lake, AK"
1327,"Portland, ME"
1328,"Efland, NC"
1329,"Bull Shoals, AR"
1330,"St. Joseph, MO"
1331,"Roy, UT"
1332,"Conroe, TX"
1333,"Newton, KS"
1334,"Fairfax, OK"
1335,"London, KY"
1336,"Rocklin, CA"
1337,"Lumpkin, GA"
1338,"Englewood, FL"
1339,"Aragonite, UT"
1340,"Floral City, FL"
1341,"Shelby, NC"
1342,"Corning, WI"
1343,"Lufkin, TX"
1344,"Rib Mountain, WI"
1345,"San Marcos, CA"
1346,"Englewood, CO"
1347,"Lemoore, CA"
1348,"Fountain Inn, SC"
1349,"Cabazon, CA"
1350,"Medina, OH"
1351,"Ladera Heights, CA"
1352,"Union Township, PA"
1353,"Riverside, CA"
1354,"Huntington Beach, CA"
1355,"Escondido, CA"
1356,"Midlothian, TX"
1357,"East Baton Rouge, LA"
1358,"Bellingham, WA"
1359,"Euclid, OH"
1360,"Woodlawn, MD"
1361,"Toms River, NJ"
1362,"Fife, WA"
1363,"Panama City Beach, FL"
1364,"Warren, MI"
1365,"Lakeland, TN"
1366,"Cedartown, GA"
1367,"Affton, MO"
1368,"Gifford, FL"
1369,"Cape Canaveral, FL"
1370,"Desert Hot Springs, CA"
1371,"Booneville, KY"
1372,"Crowley, LA"
1373,"Weston, WI"
1374,"Sheridan, AR"
1375,"Cottonwood, CA"
1376,"Cisco, TX"
1377,"Anderson, CA"
1378,"Delray Beach, FL"
1379,"Lewisburg, TN"
1380,"Montgomery Village, MD"
1381,"Lafayette, IN"
1382,"Manistee, MI"
1383,"Stockton, IL"
1384,"Byars, OK"
1385,"New Castle, DE"
1386,"Lawrenceburg, KY"
1387,"Whitewright, TX"
1388,"Cranbury Township, NJ"
1389,"Cantonment, FL"
1390,"Pendleton, SC"
1391,"Goshen, IN"
1392,"Westerville, OH"
1393,"Largo, FL"
1394,"Kyle, SD"
1395,"Santa Paula, CA"
1396,"Avondale, AZ"
1397,"Udall, KS"
1398,"Suffield, CT"
1399,"Spanaway, WA"
1400,"Mandan, ND"
1401,"West Memphis, AR"
1402,"Newport Beach, CA"
1403,"Colebrook Township, OH"
1404,"Vadnais Heights, MN"
1405,"Clarksville, TN"
1406,"Brandywine, WV"
1407,"Logan County, OK"
1408,"West Linn, OR"
1409,"Yuba City, CA"
1410,"Portage, IN"
1411,"Killeen, TX"
1412,"Stewartstown, PA"
1413,"Wolf Creek, OR"
1414,"Bellflower, CA"
1415,"Lizella, GA"
1416,"Lewistown, PA"
1417,"Middletown, DE"
1418,"San Mateo, CA"
1419,"Balch Springs, TX"
1420,"Papaaloa, HI"
1421,"Eldorado, NM"
1422,"Tom, OK"
1423,"University City, CA"
1424,"Grand Rapids, MI"
1425,"Peachtree City, GA"
1426,"Katy, TX"
1427,"Buffalo, NY"
1428,"Bridgeport, CT"
1429,"Lexington, SC"
1430,"Tiffin, OH"
1431,"Brighton Township, MI"
1432,"Barona Indian Reservation, CA"
1433,"Baldwin County, AL"
1434,"Jupiter, FL"
1435,"West Allis, WI"
1436,"Del Mar, CA"
1437,"Wewoka, OK"
1438,"Tustin, CA"
1439,"Three Forks, MT"
1440,"Lower Mount Bethel, PA"
1441,"Belgrade, ME"
1442,"Appleton, WI"
1443,"Converse, LA"
1444,"Mountain Home, ID"
1445,"Pahrump, NV"
1446,"Canton, OH"
1447,"San Rafael, NM"
1448,"Oneida, TN"
1449,"Austell, GA"
1450,"Cary, NC"
1451,"Arundel, ME"
1452,"Vacaville, CA"
1453,"Gerrardstown, WV"
1454,"Hesperia, CA"
1455,"Centennial, CO"
1456,"Yulee, FL"
1457,"Abbeville, AL"
1458,"Petal, MS"
1459,"Callahan, FL"
1460,"Campo, CA"
1461,"Bardstown, KY"
1462,"Lakes Wales, FL"
1463,"Gonzales County, TX"
1464,"Orrington, ME"
1465,"Dundalk, MD"
1466,"Hudson, NC"
1467,"Roland, OK"
1468,"Lyons, IL"
1469,"North English, IA"
1470,"Abilene, TX"
1471,"Selma, CA"
1472,"Plano, TX"
1473,"Trosper, KY"
1474,"Cade, LA"
1475,"Jerseyville, IL"
1476,"Hampton, NH"
1477,"Alexandria, VA"
1478,"Somerville, TN"
1479,"Newton, NH"
1480,"Water Valley, MS"
1481,"Madera, CA"
1482,"Montebello, CA"
1483,"Waukesha, WI"
1484,"Franklin, TN"
1485,"St. Clair Township, OH"
1486,"Lehigh, KS"
1487,"Nevada, MO"
1488,"Millerton, OK"
1489,"Florence, OR"
1490,"Deer Park, AL"
1491,"Rowe, NM"
1492,"Marietta, GA"
1493,"Lawndale, IL"
1494,"Fishers, IN"
1495,"Hillsboro, OR"
1496,"Bonaire, GA"
1497,"Pleasant View, CO"
1498,"Federal Heights, CO"
1499,"Vandalia, OH"
1500,"Centerville, UT"
1501,"Richland, WA"
1502,"Maeystown, IL"
1503,"Sallisaw, OK"
1504,"Madison, ME"
1505,"Plant City, FL"
1506,"Mamou, LA"
1507,"Lacey, WA"
1508,"Crescent City, FL"
1509,"Newton Grove, NC"
1510,"Uniontown, OH"
1511,"Bainbridge Island, WA"
1512,"Mt Airy, MD"
1513,"North Branch, MN"
1514,"Poplar Bluff, MO"
1515,"Leavenworth, KS"
1516,"Golden Valley, AZ"
1517,"Lake View, SC"
1518,"Grover Beach, CA"
1519,"Pima, AZ"
1520,"Crystal Springs, FL"
1521,"Goodyear, AZ"
1522,"Culpeper, VA"
1523,"Clay, AL"
1524,"Springfield, OR"
1525,"Saginaw, MI"
1526,"Neosho, MO"
1527,"Paulden, AZ"
1528,"Spencer, MA"
1529,"Marion, AR"
1530,"Vero Beach, FL"
1531,"Homer, LA"
1532,"Grand Terrace, CA"
1533,"Avenal, CA"
1534,"Wenatchee, WA"
1535,"Chowchilla, CA"
1536,"Glenville, NY"
1537,"Melba, ID"
1538,"Norco, CA"
1539,"Oshkosh, WI"
1540,"Los Banos, CA"
1541,"Mt. Airy, NC"
1542,"Coushatta, LA"
1543,"Richmond, CA"
1544,"Mannington, WV"
1545,"Lima, OH"
1546,"Surfside Beach, SC"
1547,"Spanish Springs, NV"
1548,"Lauderdale County, MS"
1549,"Marine City, MI"
1550,"Mead Township, PA"
1551,"New Straitsville, OH"
1552,"Santa Rosa, CA"
1553,"Bon Aqua, TN"
1554,"North Bergen, NJ"
1555,"Blue Summit, MO"
1556,"Junction City, KS"
1557,"Dalton, IL"
1558,"Dyer, IN"
1559,"Channelview, TX"
1560,"Frederickstown, WA"
1561,"Habersham, GA"
1562,"La Crosse, WI"
1563,"Cosby, TN"
1564,"Thomasville, GA"
1565,"Livermore, CA"
1566,"Crenshaw County, AL"
1567,"Bloomfield, NJ"
1568,"Fairchance, PA"
1569,"Yellville, AR"
1570,"Brick, NJ"
1571,"Morganton, NC"
1572,"Franklin, WI"
1573,"Steubenville, OH"
1574,"Pardeeville, WI"
1575,"Orcutt, CA"
1576,"Durham, CA"
1577,"Waterford Township, MI"
1578,"Lemon Grove, CA"
1579,"Orange, NJ"
1580,"Sunrise, FL"
1581,"Woodville, GA"
1582,"Pine Bluff, AR"
1583,"Farmington, NM"
1584,"Kettering, OH"
1585,"Sharpsburg, KY"
1586,"New Milford, CT"
1587,"Jacksonville, AL"
1588,"Lincoln Parish, LA"
1589,"Watagua, TX"
1590,"Fort Myers, FL"
1591,"Poultney, VT"
1592,"Mount Hope, WI"
1593,"Pittsfield, MA"
1594,"Longview, WA"
1595,"Columbus, GA"
1596,"Kendale Lakes, FL"
1597,"Monett, MO"
1598,"Arcata, CA"
1599,"Youngtown, AZ"
1600,"Huntersville, NC"
1601,"Great Falls, MT"
1602,"Hixson, TN"
1603,"Bassett, CA"
1604,"Quartzsite, AZ"
1605,"Frametown, WV"
1606,"Haymarket, VA"
1607,"Oak Harbor, WA"
1608,"West Milford, WV"
1609,"Monroe, NC"
1610,"Independence, VA"
1611,"Bernice, LA"
1612,"La Porte, TX"
1613,"Peoria, IL"
1614,"Boswell, OK"
1615,"Rockwall, TX"
1616,"Oceanside, CA"
1617,"New Castle, IN"
1618,"Palmetto, FL"
1619,"Fairview, TN"
1620,"Coolin, ID"
1621,"Spring Hill, FL"
1622,"Griffin, GA"
1623,"Columbua, IN"
1624,"Palatka, FL"
1625,"Hialeah, FL"
1626,"West Burlington, IA"
1627,"Canton Township, PA"
1628,"Seward, AK"
1629,"North Fort Collins, CO"
1630,"Parkton, NC"
1631,"West Ouachita, LA"
1632,"Jefferson City, MO"
1633,"Canandaigua, NY"
1634,"Thomas County, GA"
1635,"Hiram, GA"
1636,"Finney County, KS"
1637,"Leeds, AL"
1638,"Duarte, CA"
1639,"Golden, CO"
1640,"Perryopolis, PA"
1641,"Charleston, WV"
1642,"Abingdon, VA"
1643,"Pinetop-Lakeside, AZ"
1644,"Rochester, WA"
1645,"Valdez, CO"
1646,"Wayne County, KY"
1647,"Charlottesville, VA"
1648,"Simpsonville, SC"
1649,"Kingwood, TX"
1650,"Picture Rocks, AZ"
1651,"Hampton, VA"
1652,"Clearwater, FL"
1653,"Kings Mountain, NC"
1654,"Moraine, OH"
1655,"Fort Smith, OK"
1656,"Cloverdale, CA"
1657,"Girard, OH"
1658,"Crandon, WI"
1659,"Shelbyville, KY"
1660,"Standing Rock Reservation, ND"
1661,"Plymouth Township, PA"
1662,"Norwich, CT"
1663,"Erie, PA"
1664,"Horseheads, NY"
1665,"Fairhope, AL"
1666,"Indiantown, FL"
1667,"Black River Falls, WI"
1668,"Polk County, OR"
1669,"Tate County, MS"
1670,"King of Prussia, PA"
1671,"Livingston, TN"
1672,"Anniston, AL"
1673,"Pippa Passes, KY"
1674,"Inkster, MI"
1675,"Port Orange, FL"
1676,"Batesville, AR"
1677,"Ohatchee, AL"
1678,"Clarksville, AR"
1679,"Owen County, IN"
1680,"Meridian, MS"
1681,"Rudioso, NM"
1682,"Lynchburg, VA"
1683,"Forest Park, GA"
1684,"Clinton, TN"
1685,"Odanah, WI"
1686,"Providence, RI"
1687,"Neshoba County, MS"
1688,"Flatwoods, KY"
1689,"Gibson, LA"
1690,"Crystal, MN"
1691,"Hinds County, MS"
1692,"Dakota City, IA"
1693,"St. Tammany Parish, LA"
1694,"Fall River, MA"
1695,"Tremont, NY"
1696,"Rancho Tehama Reserve, CA"
1697,"Jackson, MS"
1698,"Elmira, NY"
1699,"Cedar Lake, TX"
1700,"West Monroe, LA"
1701,"Fairfax, VA"
1702,"Prichard, AL"
1703,"Warren County, KY"
1704,"Greenville County, SC"
1705,"Davenport, IA"
1706,"Klamath Falls, OR"
1707,"Lebanon, MO"
1708,"Pell City, AL"
1709,"Holland Township, MI"
1710,"Wimberley, TX"
1711,"Penasco, NM"
1712,"Covina, CA"
1713,"Eaton County, MI"
1714,"Hillyard, WA"
1715,"Three Points, AZ"
1716,"Hendersonville, NC"
1717,"North Hollywood, CA"
1718,"York, SC"
1719,"La Marque, TX"
1720,"Monticello, GA"
1721,"Bassett, VA"
1722,"Lauderdale Lakes, FL"
1723,"Coral Springs, FL"
1724,"Peshtigo, WI"
1725,"Old Forge, PA"
1726,"Dover, DE"
1727,"Rose Bud, AR"
1728,"Artesia, CA"
1729,"Rincon, GA"
1730,"Hamilton, AL"
1731,"New Britain, CT"
1732,"McMinnville, TN"
1733,"Lexington, VA"
1734,"Charleston, TN"
1735,"Bremerton, WA"
1736,"Valley Head, WV"
1737,"Oak Park, MI"
1738,"Mulberry, AR"
1739,"The Colony, TX"
1740,"Miami Township, OH"
1741,"Schertz, TX"
1742,"Gilbert, MN"
1743,"Pocatello, ID"
1744,"Canaan, NH"
1745,"Progreso, TX"
1746,"Boring, OR"
1747,"Tulare, CA"
1748,"Lawrence, IN"
1749,"Farmers Branch, TX"
1750,"300 block of State Line Road, TN"
1751,"Chester, VA"
1752,"Dover Township, PA"
1753,"Redwood City, CA"
1754,"Crowell, TX"
1755,"Highlands Ranch, CO"
1756,"Romance, AR"
1757,"Edgewater, FL"
1758,"Camp Wood, TX"
1759,"Ozark, AR"
1760,"Joplin, MO"
1761,"Whitehall, OH"
1762,"McLoud, OK"
1763,"Round Rock, TX"
1764,"Sparta, WI"
1765,"San Carlos Park, FL"
1766,"Manchester Township, PA"
1767,"Lauderhill, FL"
1768,"Danville, VA"
1769,"Sedona, AZ"
1770,"Horn Lake, MS"
1771,"Church Hill, TN"
1772,"Lexington County, SC"
1773,"Cave Junction, OR"
1774,"Elko, NV"
1775,"Pittsburg, CA"
1776,"Scottsville, KY"
1777,"Sherwood, OR"
1778,"Puyallup, WA"
1779,"El Sereno, CA"
1780,"Montpelier, VT"
1781,"Bedford, TX"
1782,"Adams County, CO"
1783,"Gooding, ID"
1784,"Franklin County, OH"
1785,"Nashua, IA"
1786,"Racine, WI"
1787,"Boonville, IN"
1788,"Overland Park, KS"
1789,"Fairmont, MN"
1790,"Dunwoody, GA"
1791,"Rockledge, FL"
1792,"Ebey Island, WA"
1793,"Battle Creek, MI"
1794,"Millville, NJ"
1795,"Crescent City, CA"
1796,"Chatham County, GA"
1797,"League City, TX"
1798,"Union Township, MI"
1799,"Little Orleans, MD"
1800,"Buford, GA"
1801,"Rock Falls, IL"
1802,"Walton, IN"
1803,"Chamblee, GA"
1804,"Pink, OK"
1805,"St. James, MN"
1806,"Arvada, CO"
1807,"Waverly, OH"
1808,"Clayton, GA"
1809,"Helena, MT"
1810,"Winters, TX"
1811,"Reading, MA"
1812,"Nice, CA"
1813,"Laguna Woods, CA"
1814,"Lantana, FL"
1815,"Grant-Valkaria, FL"
1816,"Locust Grove, GA"
1817,"Bolton, VT"
1818,"Grant, OK"
1819,"Willits, CA"
1820,"Merrillville, IN"
1821,"Belton, MO"
1822,"Montezuma Creek, UT"
1823,"Henderson, NC"
1824,"Cocoa Beach, FL"
1825,"Sissonville, WV"
1826,"Inwood, WV"
1827,"Hernando, FL"
1828,"Catoosa, OK"
1829,"Guadalupe County, TX"
1830,"Fort Washington, MD"
1831,"Stutsman County, ND"
1832,"Stratford, TX"
1833,"Woodbridge, VA"
1834,"Monongalia, WV"
1835,"Crawford County, OH"
1836,"Wamego, KS"
1837,"Chester, SC"
1838,"Coeur d'Alene, ID"
1839,"Alamosa, CO"
1840,"Henrico, VA"
1841,"Bristol Township, PA"
1842,"Clarksville, TX"
1843,"Pima County, AZ"
1844,"Johnson County, MO"
1845,"Abington Township, PA"
1846,"Carroll County, GA"
1847,"Barnwell, AL"
1848,"Oil Springs, KY"
1849,"North Manchester, IN"
1850,"Shelbyville, TX"
1851,"Clinton, MO"
1852,"Spotsylvania, VA"
1853,"Pottstown, PA"
1854,"Pilot Station, AK"
1855,"Tarpon Springs, FL"
1856,"Fort Sumner, NM"
1857,"Elgin, IL"
1858,"Midland, MI"
1859,"Blackman Township, MI"
1860,"Lexington, NC"
1861,"West Fargo, ND"
1862,"Manhasset, NY"
1863,"Sandy, UT"
1864,"Keizer, OR"
1865,"Parmelee, SD"
1866,"Harris County, TX"
1867,"Jonesborough, TN"
1868,"Elk Plain, WA"
1869,"Burnsville, NC"
1870,"Valley View, CA"
1871,"Lancaster, TX"
1872,"Utica, KY"
1873,"Lone Rock, AR"
1874,"Scott County, KY"
1875,"Timberlake, NC"
1876,"Winter Haven, FL"
1877,"Princeton, NJ"
1878,"Littlefield, TX"
1879,"Owasso, OK"
1880,"Mannford, OK"
1881,"Amelia Island, FL"
1882,"Aurora, IL"
1883,"Greenspoint, TX"
1884,"Bogalusa, LA"
1885,"Childress, TX"
1886,"Genesee Township, MI"
1887,"Douglas, AZ"
1888,"Nikolaevsk, AK"
1889,"Wise County, VA"
1890,"Sanford, NC"
1891,"Midway, FL"
1892,"Nampa, ID"
1893,"Lower Macungie Township, PA"
1894,"Swansea, SC"
1895,"Pasadena, TX"
1896,"Winston-Salem, NC"
1897,"New Llano, LA"
1898,"Goodbee, LA"
1899,"Jackson, MI"
1900,"Okmulgee, OK"
1901,"Molena, GA"
1902,"Reynoldsville, WV"
1903,"South Bend, IN"
1904,"Volant, PA"
1905,"Marysville, CA"
1906,"Searcy County, AR"
1907,"Oroville, CA"
1908,"West Valley City, UT"
1909,"Troy, MI"
1910,"Reseda, CA"
1911,"Oaks, OK"
1912,"Baldwin Hills, CA"
1913,"Royal Oak, MI"
1914,"Winn Parish, LA"
1915,"Pembroke, NY"
1916,"Sparta, NC"
1917,"Lake Elmo, MN"
1918,"Helena-West Helena, AR"
1919,"Washington, PA"
1920,"Lodge Grass, MT"
1921,"Magna, UT"
1922,"Tishomingo, OK"
1923,"Cumberland County, KY"
1924,"Greene County, MO"
1925,"Sugar House, UT"
1926,"Pavilion Township, MI"
1927,"Foresthill, CA"
1928,"Mackinaw, IL"
1929,"West Olive, MI"
1930,"Harmony, TX"
1931,"Grand Canyon Caverns, AZ"
1932,"Grand Prairie, TX"
1933,"Vernon, TX"
1934,"Palermo, CA"
1935,"Shelby Township, MI"
1936,"Johns Creek, GA"
1937,"Casselberry, FL"
1938,"Moorland, IA"
1939,"Box Elder, SD"
1940,"Liberty, NC"
1941,"Orosi, CA"
1942,"Sandia, TX"
1943,"Oakfield, ME"
1944,"Aurora, MO"
1945,"Fairview, OH"
1946,"Prague, OK"
1947,"Floyd County, GA"
1948,"Hackett, AR"
1949,"Glade Spring, VA"
1950,"Lower Burrell, PA"
1951,"York, WI"
1952,"Clark County, WI"
1953,"Haughton, LA"
1954,"Talihina, OK"
1955,"Blackfoot, ID"
1956,"Amite, LA"
1957,"Carnesville, GA"
1958,"Dearborn Heights, MI"
1959,"Clinton, MD"
1960,"Wales, ME"
1961,"Quincy, IL"
1962,"Lake Mary, FL"
1963,"Martins Ferry, OH"
1964,"Norman, OK"
1965,"Plymouth Township, MI"
1966,"Sunridge, NV"
1967,"Baxter, KY"
1968,"Joshua Tree, CA"
1969,"Mathis, TX"
1970,"Gurnee, IL"
1971,"Fox Crossing, WI"
1972,"Rio Bravo, TX"
1973,"Citra, FL"
1974,"Dumas, TX"
1975,"Fort Morgan, CO"
1976,"Silsbee, TX"
1977,"Everton, MO"
1978,"Riverbank, CA"
1979,"Cottonwood Heights, UT"
1980,"Florida City, FL"
1981,"Thomasville, NC"
1982,"Dundee, FL"
1983,"Mecca, CA"
1984,"Wilmington, NC"
1985,"Merrick, NY"
1986,"LaGrange, GA"
1987,"Delaware, OH"
1988,"Benton City, WA"
1989,"Hardwick, NJ"
1990,"Madison County, MS"
1991,"Deptford, NJ"
1992,"Westminister, CO"
1993,"Silver Spring, MD"
1994,"Danville, IL"
1995,"Monroe, GA"
1996,"Eustis, FL"
1997,"Pike County, OH"
1998,"Hall County, GA"
1999,"Nokomis, IL"
2000,"Warwick, NY"
2001,"South Salt Lake, UT"
2002,"Tucumcari, NM"
2003,"Kingsland, GA"
2004,"Albany, NY"
2005,"Fairfield, OH"
2006,"North Shore, HI"
2007,"Monroe, LA"
2008,"Coos Bay, OR"
2009,"Meridian, ID"
2010,"Prompton, PA"
2011,"Galveston, TX"
2012,"Grenada, MS"
2013,"Russellville, AR"
2014,"Dade City, FL"
2015,"North Pole, AK"
2016,"Lawrenceburg, TN"
2017,"Grandview, MO"
2018,"Panora, IA"
2019,"South Elgin, IL"
2020,"Spalding County, GA"
2021,"Red Bluff, CA"
2022,"Calaveras County, CA"
2023,"Devil's Lake, ND"
2024,"Copper Center, AK"
2025,"Amity, OR"
2026,"Westminster, CA"
2027,"Willis, TX"
2028,"Chanhassen, MN"
2029,"Dilley, TX"
2030,"Florence, SC"
2031,"Alvin, TX"
2032,"Altoona, IA"
2033,"Fletcher, NC"
2034,"Pattison, TX"
2035,"Puna, HI"
2036,"Lady Lake, FL"
2037,"Bixby, OK"
2038,"Hanover, CO"
2039,"Burlington, NC"
2040,"Bristol, VA"
2041,"Starke, FL"
2042,"Havasu, AZ"
2043,"LaFollette, TN"
2044,"Walton County, GA"
2045,"Kent Station, WA"
2046,"Lakemoor, IL"
2047,"Redondo Beach, CA"
2048,"Nanakuli, HI"
2049,"South Whitehall Township, PA"
2050,"Aberdeen, NC"
2051,"Mississippi County, AR"
2052,"Oxon Hill, MD"
2053,"Hereford, TX"
2054,"Sussex County, VA"
2055,"Apopka, FL"
2056,"Trumann, AR"
2057,"Deer Park, WA"
2058,"Seville, FL"
2059,"Liberty, MO"
2060,"Van Buren, AR"
2061,"Monroe County, IN"
2062,"Salt River Reservation, AZ"
2063,"Carthage, TN"
2064,"Hawkins, WI"
2065,"Waynesboro, VA"
2066,"Richton Park, IL"
2067,"Creston, IA"
2068,"Olustee, FL"
2069,"Gonic, NH"
2070,"Enoree, SC"
2071,"Montgomery County, VA"
2072,"Blacksburg, SC"
2073,"Washington Court House, OH"
2074,"Beverly Hills, FL"
2075,"Pasadena, CA"
2076,"Sedalia, CO"
2077,"Bernalillo, NM"
2078,"Cheney, WA"
2079,"Hollywood, FL"
2080,"Morris, AL"
2081,"Jonesville, NC"
2082,"Citronelle, AL"
2083,"Missouri City, TX"
2084,"Stanwood, WA"
2085,"Ankeny, IA"
2086,"Jacksonville, AR"
2087,"Walla Walla, WA"
2088,"Manitowoc, WI"
2089,"Temple Hills, MD"
2090,"Maspeth, NY"
2091,"Christian County, KY"
